2015-07-03 01:05:43 67.213.118.194  browse   danmaku.us . "" "=Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
2015-07-03 01:06:10 46.229.164.100  browse   danmaku.us Acfun2.1119 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:11:15 46.229.164.102  edit     danmaku.us Acfun2.1111 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:14:51 46.229.164.101  browse   danmaku.us Acfun2.1057 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:19:08 46.229.164.100  login    danmaku.us Profiles.Kpx "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:25:48 46.229.164.98   login    danmaku.us Bilibili2.1105 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:32:00 46.229.164.98   edit     danmaku.us Bilibili2.1030 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:39:11 46.229.164.102  print    danmaku.us Bilibili2.1064 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:47:53 46.229.164.102  browse   danmaku.us Acfun2.1133 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 01:51:03 220.181.108.80  browse   danmaku.us Acfun2.1195 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 01:58:28 46.229.164.101  edit     danmaku.us Bilibili2.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:01:38 123.150.183.131 browse   danmaku.us AcfunN1.HomePage "" "Mozilla/5.0 (Linux; U; Android 4.3; zh-CN; SCH-N719 Build/JSS15J) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.9.5.489 U3/0.8.0 Mobile Safari/533.1"
2015-07-03 02:04:48 66.249.65.172   browse   danmaku.us Acfun2.1134 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 02:09:05 46.229.164.102  edit     danmaku.us Acfun2.1070 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:18:43 220.181.108.185 browse   direct.danmaku.us Category.娱乐 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 02:19:19 46.229.164.102  edit     danmaku.us Acfun2.1204 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:23:30 180.76.15.136   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 02:28:16 46.229.164.100  diff     danmaku.us Acfun2.1094 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:35:21 46.229.164.101  login    danmaku.us Acfun2.1162 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:45:21 46.229.164.98   browse   danmaku.us Acfun2.1135 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 02:55:18 46.229.164.100  login    danmaku.us Acfun2.1084 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:04:28 109.64.186.215  browse   danmaku.us . "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:29 109.64.186.215  browse   danmaku.us Main.RecentChanges "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:30 109.64.186.215  browse   danmaku.us Site.Search "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:30 109.64.186.215  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:31 109.64.186.215  browse   danmaku.us Main.FNQ "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:33 109.64.186.215  browse   danmaku.us Main.Talk "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:33 109.64.186.215  browse   danmaku.us Acfun2.HomePage "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:35 109.64.186.215  browse   danmaku.us AcfunN1.HomePage "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:35 109.64.186.215  browse   danmaku.us Bilibili2.HomePage "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:04:37 109.64.186.215  browse   danmaku.us Twodland1.HomePage "" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 03:05:36 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/Main/N1c0" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:05:36 61.64.181.206   browse   danmaku.us Main.HomePage "http://danmaku.us/Main/N1c0" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:05:47 46.229.164.100  browse   danmaku.us Acfun2.1188 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:09:56 123.125.71.52   browse   danmaku.us Category.Vocaloid "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 03:12:53 46.229.164.99   print    danmaku.us Acfun2.1003 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:19:47 46.229.164.100  browse   danmaku.us Acfun2.1088 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:20:34 66.249.65.186   browse   danmaku.us Acfun2.1153 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 03:26:37 46.229.164.100  diff     danmaku.us Acfun2.1143 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:31:59 46.229.164.102  browse   danmaku.us Acfun2.1086 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:36:31 46.229.164.101  login    danmaku.us Acfun2.1008 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:41:45 46.229.164.102  browse   danmaku.us Acfun2.1077 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:43:16 123.125.71.106  browse   danmaku.us Acfun2.1099 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 03:46:06 46.229.164.102  browse   danmaku.us Acfun2.1004 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:50:37 180.76.15.157   browse   www.danmaku.us PmWiki.PagelistVariables "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 03:50:42 46.229.164.99   browse   danmaku.us Acfun2.1073 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:56:18 46.229.164.101  print    danmaku.us Twodland1.1004 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 03:57:50 14.118.195.210  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:57:52 14.118.195.210  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:57:54 14.118.195.210  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:57:55 14.118.195.210  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:57:56 14.118.195.210  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:58:09 14.118.195.210  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 03:58:13 14.118.195.210  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 04:03:18 46.229.164.101  diff     danmaku.us Bilibili2.1062 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:07:42 46.229.164.99   print    danmaku.us Acfun2.1169 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:14:16 46.229.164.101  browse   danmaku.us Acfun2.1160 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:20:32 46.229.164.102  diff     danmaku.us Acfun2.1022 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:27:08 46.229.164.101  login    danmaku.us Acfun2.1131 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:32:19 106.117.77.27   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; Tablet PC 2.0)"
2015-07-03 04:32:20 106.117.77.27   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; Tablet PC 2.0)"
2015-07-03 04:34:12 46.229.164.99   browse   danmaku.us Site.LastDanmakuCommit "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:36:21 66.249.65.151   browse   danmaku.us Acfun2.1126 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 04:41:55 46.229.164.101  diff     danmaku.us Bilibili2.1103 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 04:42:31 157.55.39.99    browse   danmaku.us Bilibili2.1116 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
