2015-09-30 00:16:29 180.76.15.140   browse   danmaku.us Category.黑屏 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-09-30 00:45:56 220.181.108.176 browse   direct.danmaku.us Acfun2.1190 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-09-30 00:53:38 119.128.165.100 browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
2015-09-30 00:53:59 119.128.165.100 browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
2015-09-30 01:15:19 157.55.39.132   browse   danmaku.us Bilibili2.1070 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2015-09-30 01:15:34 66.249.75.252   browse   danmaku.us Acfun2.1186 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 01:42:15 46.119.115.165  browse   danmaku.us . "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:15 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:16 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:16 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:17 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:17 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:17 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:18 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:19 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:19 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:20 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:20 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 01:42:21 46.119.115.165  browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0"
2015-09-30 02:05:49 106.120.160.119 browse   danmaku.us . "http://danmaku.us/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)"
2015-09-30 02:11:05 101.199.108.52  browse   danmaku.us . "" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.48 Safari/537.36"
2015-09-30 02:31:21 66.249.75.236   browse   danmaku.us Acfun2.1207 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 02:55:50 113.227.174.227 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2)"
2015-09-30 02:55:51 113.227.174.227 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2)"
2015-09-30 03:11:50 222.171.12.110  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:11:52 222.171.12.110  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:11:52 222.171.12.110  browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:11:53 222.171.12.110  browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:11:55 222.171.12.110  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:11:56 222.171.12.110  browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3; GWX:QUALIFIED; LCJB)"
2015-09-30 03:31:13 66.249.75.244   browse   danmaku.us Acfun2.1039 "" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 03:46:32 222.212.252.135 browse   danmaku.us Main.HomePage "http://bbs.colg.cn/thread-3725026-1-1.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
2015-09-30 03:46:51 222.212.252.135 browse   danmaku.us Bilibili2.HomePage "http://danmaku.us/Main/HomePage" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
2015-09-30 03:47:08 66.249.75.236   browse   danmaku.us Acfun2.1208 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 03:47:13 222.212.252.135 browse   danmaku.us Category.测试 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
2015-09-30 03:54:37 180.76.15.162   browse   www.danmaku.us PmWiki.Categories "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-09-30 04:08:37 101.226.166.233 diff     direct.danmaku.us Acfun2.1013 "http://direct.danmaku.us/Acfun2/1013?action=diff&minor=n&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:08:53 182.118.25.202  diff     direct.danmaku.us Acfun2.1127 "http://direct.danmaku.us/Acfun2/1127?action=diff&minor=n&source=y" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:10:33 66.249.75.144   browse   danmaku.us Acfun2.HomePage "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:10:43 101.226.169.223 print    direct.danmaku.us Bilibili2.1016 "http://direct.danmaku.us/Bilibili2/1016?action=print" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:23 101.226.168.245 print    direct.danmaku.us Acfun2.1157 "http://direct.danmaku.us/Acfun2/1157?action=print" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:29 182.118.20.173  login    direct.danmaku.us Acfun2.1111 "http://direct.danmaku.us/Acfun2/1111?action=login" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:44 66.249.75.144   browse   danmaku.us Acfun2.1010 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:47 101.226.167.236 login    direct.danmaku.us Bilibili2.1060 "http://direct.danmaku.us/Bilibili2/1060?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2015-09-30 04:12:48 66.249.75.135   browse   danmaku.us Acfun2.1113 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:52 66.249.75.252   browse   danmaku.us Acfun2.1071 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:55 66.249.75.144   browse   danmaku.us Acfun2.1045 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:12:59 66.249.75.252   browse   danmaku.us Acfun2.1177 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:03 66.249.75.252   browse   danmaku.us Acfun2.1074 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:07 66.249.75.252   browse   danmaku.us Acfun2.1198 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:12 66.249.75.252   browse   danmaku.us Acfun2.1154 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:21 66.249.75.135   browse   danmaku.us Acfun2.1155 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:29 66.249.75.144   browse   danmaku.us Acfun2.1103 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:37 66.249.75.135   browse   danmaku.us Acfun2.1130 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:45 66.249.75.252   browse   danmaku.us Acfun2.1052 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:13:53 66.249.64.253   browse   danmaku.us Acfun2.1081 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:01 66.249.75.144   browse   danmaku.us Acfun2.1034 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-09-30 04:14:09 66.249.75.144   browse   danmaku.us Acfun2.1065 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
