2015-10-02 00:15:41 58.215.137.235  browse   danmaku.us . "" "Mozilla/5.0 (Linux; U; Android 4.3; zh-CN; SCH-N719 Build/JSS15J) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.9.5.489 U3/0.8.0 Mobile Safari/533.1"
2015-10-02 00:16:02 220.181.108.177 browse   danmaku.us Acfun2.1189 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-10-02 00:22:09 180.76.15.146   browse   www.danmaku.us Bilibili2.1075 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-10-02 00:27:30 182.118.41.186  browse   danmaku.us . "http://danmaku.us/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)"
2015-10-02 00:28:22 14.18.185.2     browse   danmaku.us Bilibili2.1022 "http://tieba.baidu.com/p/2538458645" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2015-10-02 00:29:00 14.18.185.2     browse   danmaku.us Bilibili2.1022 "http://tieba.baidu.com/p/2538458645" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2015-10-02 00:29:24 23.250.26.69    browse   danmaku.us PmWiki.AuthUser "http://danmaku.us/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:35.0) Gecko/20100101 Firefox/35.0"
2015-10-02 00:46:04 180.76.15.13    browse   danmaku.us PmWiki.Functions "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-10-02 00:55:07 122.228.228.107 browse   danmaku.us . "http://sx1.atv.ac:5566/index.php/Anime" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
2015-10-02 00:55:16 122.228.228.107 browse   danmaku.us Acfun2.HomePage "http://danmaku.us/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
2015-10-02 01:04:59 66.249.75.144   browse   danmaku.us Acfun2.1035 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
