2016-01-21 00:06:35 101.226.168.245 diff     www.danmaku.us Acfun2.HomePage "http://www.danmaku.us/Acfun2/HomePage?action=diff&diffstart=10&minor=y&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 00:23:33 123.125.71.112  browse   www.danmaku.us Acfun2.HomePage "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-01-21 00:24:49 208.115.113.91  browse   danmaku.us Acfun2.1152 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:25:27 208.115.113.91  browse   danmaku.us Acfun2.1068 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:26:01 208.115.113.91  browse   danmaku.us Acfun2.1057 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:26:04 208.115.113.91  browse   danmaku.us Acfun2.1110 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:27:20 208.115.113.91  browse   danmaku.us Acfun2.1126 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:27:23 208.115.113.91  browse   danmaku.us Acfun2.1074 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:27:45 208.115.113.91  login    danmaku.us System.HomePage "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:27:52 208.115.113.91  browse   danmaku.us Acfun2.1171 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:28:22 208.115.113.91  browse   danmaku.us Acfun2.1151 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:28:24 208.115.113.91  browse   danmaku.us Acfun2.1014 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:28:37 208.115.113.91  browse   danmaku.us Acfun2.1062 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:29:05 208.115.113.91  browse   danmaku.us Acfun2.1198 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:29:27 208.115.113.91  browse   danmaku.us Acfun2.1176 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:29:45 208.115.113.91  browse   danmaku.us Acfun2.1027 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 00:34:17 119.108.155.9   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-01-21 00:34:17 119.108.155.9   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-01-21 00:38:49 121.12.13.51    browse   danmaku.us . "https://www.baidu.com/link?url=l1y4MYcz4vG7LslLG4z21wSXNcv_8SeDlWf64Q71oIa&wd=&eqid=9cfba72f00001d3600000006569fb815" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-01-21 00:40:01 121.12.13.51    search   danmaku.us Main.HomePage "http://danmaku.us/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-01-21 00:40:05 121.12.13.51    browse   danmaku.us Bilibili2.1022 "http://danmaku.us/?n=Main.HomePage&action=search&q=%E5%A4%A9%E5%85%83%E7%AA%81%E7%A0%B4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-01-21 00:40:39 121.12.13.51    browse   danmaku.us Bilibili2.1022 "http://danmaku.us/?n=Main.HomePage&action=search&q=%E5%A4%A9%E5%85%83%E7%AA%81%E7%A0%B4" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
2016-01-21 00:47:23 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:23 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:25 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:25 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:27 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:27 139.226.141.154 browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (Linux; Android) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36"
2016-01-21 00:47:58 104.207.150.177 browse   danmaku.us . "" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36"
2016-01-21 00:49:58 60.25.155.213   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-01-21 00:49:59 60.25.155.213   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2016-01-21 01:20:02 208.115.111.75  browse   danmaku.us Acfun2.1155 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:20:52 182.118.20.203  browse   direct.danmaku.us Acfun2.1051 "http://direct.danmaku.us/Acfun2/1051" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0); 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:21:11 101.226.166.221 login    direct.danmaku.us Acfun2.1001 "http://direct.danmaku.us/Acfun2/1001?action=login" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:21:19 208.115.111.75  browse   danmaku.us Acfun2.1162 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:21:21 208.115.111.75  browse   danmaku.us Acfun2.1123 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:21:33 101.226.167.232 diff     direct.danmaku.us Acfun2.1191 "http://direct.danmaku.us/Acfun2/1191?action=diff" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:22:40 208.115.111.75  browse   danmaku.us Acfun2.1070 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:22:46 208.115.111.75  browse   danmaku.us Acfun2.1144 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:22:48 208.115.111.75  browse   danmaku.us Acfun2.1009 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
2016-01-21 01:23:07 101.226.168.222 edit     direct.danmaku.us Acfun2.1053 "http://direct.danmaku.us/Acfun2/1053?action=edit&preview=y&restore=diff:1278988495:1278988495:" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:23:17 101.226.168.202 edit     direct.danmaku.us Bilibili2.1021 "http://direct.danmaku.us/Bilibili2/1021?action=edit" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-01-21 01:23:51 208.115.111.75  browse   danmaku.us Acfun2.1027 "" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
