2016-02-24 00:09:52 101.226.168.212 diff     direct.danmaku.us Bilibili2.1106 "http://direct.danmaku.us/Bilibili2/1106?action=diff&minor=n&source=y" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
2016-02-24 00:39:32 207.46.13.7     browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-02-24 00:42:58 123.121.90.54   browse   direct.danmaku.us Main.HomePage "http://direct.danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:42:59 120.52.72.37    browse   direct.danmaku.us Main.HomePage "http://120.52.72.37/direct.danmaku.us/c3pr90ntcsf0/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:42:59 120.52.72.37    browse   direct.danmaku.us Main.HomePage "http://120.52.72.37/direct.danmaku.us/c3pr90ntcsf0/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:43:00 120.52.72.37    browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:43:01 120.52.72.37    browse   direct.danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:43:02 120.52.72.37    browse   direct.danmaku.us Main.HomePage "http://120.52.72.37/direct.danmaku.us/c3pr90ntcsf0/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:43:03 120.52.72.37    browse   direct.danmaku.us Main.HomePage "http://120.52.72.37/direct.danmaku.us/c3pr90ntcsf0/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E; InfoPath.2; Media Center PC 6.0; .NET CLR 3.5.30729; .NET CLR 3.0.30729)"
2016-02-24 00:43:42 106.120.188.139 browse   danmaku.us . "" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) Qt/4.8.1 Safari/534.34"
2016-02-24 01:07:15 40.77.167.36    browse   danmaku.us Bilibili2.1036 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
