2016-08-01 00:18:10 115.29.115.31   browse   danmaku.us Category.静图 "http://www.baidu.com, http://www.baidu.com, http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
2016-08-01 00:20:11 42.120.160.23   browse   direct.danmaku.us PmWiki.WikiAdministrator "" "YisouSpider"
2016-08-01 00:26:16 192.243.55.133  edit     danmaku.us Acfun2.1169 "" "Mozilla/5.0 (compatible; SemrushBot/1.1~bl; +http://www.semrush.com/bot.html)"
2016-08-01 00:30:32 42.120.160.23   browse   direct.danmaku.us Twodland1.1004 "" "YisouSpider"
2016-08-01 00:30:32 42.156.137.23   edit     direct.danmaku.us Bilibili2.1111 "" "YisouSpider"
2016-08-01 00:49:16 2a02:598:2::1062 browse   danmaku.us PmWiki.I18nVariables "" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2016-08-01 00:49:19 2a02:598:2::1062 browse   danmaku.us PmWiki.WikiPage "" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2016-08-01 00:49:21 2a02:598:2::1062 browse   danmaku.us PmWiki.InterMap "" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2016-08-01 00:49:24 2a02:598:2::1062 browse   danmaku.us PmWiki.UTF-8 "" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2016-08-01 00:49:26 2a02:598:2::1062 browse   danmaku.us Site.Site "" "Mozilla/5.0 (compatible; SeznamBot/3.2; +http://napoveda.seznam.cz/en/seznambot-intro/)"
2016-08-01 01:11:27 42.156.254.109  browse   danmaku.us PmWikiZhCn.SideBar "" "YisouSpider"
2016-08-01 01:30:32 42.120.160.23   edit     direct.danmaku.us Queue.1302536043 "" "YisouSpider"
2016-08-01 01:31:09 66.249.65.145   browse   danmaku.us Acfun2.1124 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-08-01 01:35:52 207.46.13.124   browse   danmaku.us Bilibili2.1113 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-08-01 01:36:10 42.120.160.23   browse   direct.danmaku.us PmWiki.LinkVariables "" "YisouSpider"
2016-08-01 01:37:46 117.140.59.45   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-08-01 01:37:47 117.140.59.45   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-08-01 01:39:30 117.140.59.45   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-08-01 01:39:30 117.140.59.45   browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2016-08-01 01:52:48 42.156.254.109  diff     danmaku.us Acfun2.1194 "" "YisouSpider"
2016-08-01 02:01:07 199.21.99.217   browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
2016-08-01 02:07:57 36.45.165.18    browse   danmaku.us . "" "Mozilla/5.0 (Linux; U; Android 5.0.2; zh-CN; ALE-UL00 Build/HuaweiALE-UL00) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.9.4.728 U3/0.8.0 Mobile Safari/534.30"
2016-08-01 02:08:48 14.152.64.156   browse   danmaku.us Bilibili2.HomePage "" "Mozilla/5.0 (Linux; U; Android 4.3; zh-CN; SCH-N719 Build/JSS15J) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.9.5.489 U3/0.8.0 Mobile Safari/533.1"
2016-08-01 02:23:51 171.221.247.97  browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
2016-08-01 02:23:53 171.221.247.97  browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
2016-08-01 02:24:12 118.122.94.40   browse   danmaku.us Bilibili2.1022 "" ""
2016-08-01 02:24:14 171.221.247.97  browse   danmaku.us Bilibili2.1022 "" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
2016-08-01 02:38:30 157.122.148.194 browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729)"
