2016-08-03 00:12:50 115.29.115.31   print    danmaku.us Main.HomePage "http://www.baidu.com, http://www.baidu.com, http://www.baidu.com, http://www.baidu.com, http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
2016-08-03 00:14:53 42.120.160.23   diff     direct.danmaku.us Main.FNQ "" "YisouSpider"
2016-08-03 00:20:42 42.156.254.109  diff     danmaku.us PmWiki.InterMap "" "YisouSpider"
2016-08-03 00:21:31 42.120.160.23   browse   direct.danmaku.us PmWiki.LocalCustomizations "" "YisouSpider"
2016-08-03 00:25:35 117.29.151.247  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
2016-08-03 00:25:35 117.29.151.247  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729)"
2016-08-03 00:25:51 42.120.160.23   browse   direct.danmaku.us SiteAdmin.ApprovedUrls "" "YisouSpider"
2016-08-03 00:34:03 157.55.39.89    browse   danmaku.us . "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-08-03 00:53:28 172.68.34.218   browse   danmaku.us . "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2016-08-03 00:55:25 42.156.254.109  browse   danmaku.us Bilibili2.1024 "" "YisouSpider"
2016-08-03 00:56:32 157.55.39.66    browse   danmaku.us Bilibili2.1093 "" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2016-08-03 01:04:29 123.125.71.110  browse   danmaku.us Acfun2.1025 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-08-03 01:15:00 42.156.254.109  print    danmaku.us Bilibili2.1108 "" "YisouSpider"
2016-08-03 01:19:02 42.120.161.95   browse   danmaku.us Acfun2.1154 "" "YisouSpider"
2016-08-03 01:24:29 42.120.160.23   browse   direct.danmaku.us Bilibili2.1069 "" "YisouSpider"
2016-08-03 01:24:30 42.156.137.23   edit     direct.danmaku.us Acfun2.1122 "" "YisouSpider"
2016-08-03 01:28:14 120.42.92.207   iview    danmaku.us Main.HomePage "" ""
2016-08-03 01:28:15 120.42.92.207   iview    danmaku.us Main.HomePage "" ""
2016-08-03 01:29:53 180.76.15.34    browse   danmaku.us PmWiki.Search "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2016-08-03 01:33:31 120.42.92.207   iview    danmaku.us Main.HomePage "" ""
2016-08-03 01:33:32 120.42.92.207   iview    danmaku.us Main.HomePage "" ""
2016-08-03 01:34:32 115.28.93.53    browse   danmaku.us Category.动画 "http://www.baidu.com, http://www.baidu.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1"
2016-08-03 01:35:45 42.156.254.109  edit     danmaku.us Queue.1435405331 "" "YisouSpider"
2016-08-03 01:38:33 42.120.161.95   browse   danmaku.us PmWiki.Variables "" "YisouSpider"
2016-08-03 01:42:09 113.121.243.162 browse   danmaku.us Main.HomePage "http://www.bilibili.com/video/av39444/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.122 Safari/537.36 SE 2.X MetaSr 1.0"
